participant_id,vis,task_order,correctness,vis_order,duration_ms,log_duration,bc_duration
63f794e7d8d24753edbbb136,radial,6,1,2,31085,10.34448067,2.846395271
63f794e7d8d24753edbbb136,radial,7,0,2,29017,10.27563714,2.844348775
63f794e7d8d24753edbbb136,radial,8,1,2,28145,10.245125,2.843426268
63f794e7d8d24753edbbb136,radial,9,0,2,29470,10.29112808,2.844813468
63f794e7d8d24753edbbb136,blossom,1,1,3,18124,9.804992306,2.828993955
63f794e7d8d24753edbbb136,blossom,2,1,3,25152,10.1326927,2.839942918
63f794e7d8d24753edbbb136,blossom,3,1,3,54322,10.90268458,2.861328545
63f794e7d8d24753edbbb136,blossom,4,1,3,16033,9.682404377,2.824573246
63f794e7d8d24753edbbb136,blossom,5,1,3,50587,10.83144991,2.859577287
63f794e7d8d24753edbbb136,blossom,6,1,3,43454,10.67945819,2.855695374
63f794e7d8d24753edbbb136,blossom,7,1,3,77039,11.25206707,2.869328
63f794e7d8d24753edbbb136,blossom,8,1,3,20637,9.93484086,2.833479271
63f794e7d8d24753edbbb136,blossom,9,1,3,21089,9.956506857,2.834208529
6638068d9ab49383d1fe00ae,diverging,1,1,1,22750,10.03232042,2.836718346
6638068d9ab49383d1fe00ae,diverging,2,1,1,39410,10.58177487,2.853092186
6638068d9ab49383d1fe00ae,diverging,3,1,1,34062,10.43593767,2.849040739
6638068d9ab49383d1fe00ae,diverging,4,0,1,56325,10.93889377,2.862202549
6638068d9ab49383d1fe00ae,diverging,5,1,1,34592,10.45137772,2.849479272
6638068d9ab49383d1fe00ae,diverging,6,1,1,80936,11.301414,2.870382977
6638068d9ab49383d1fe00ae,diverging,7,1,1,63299,11.05562481,2.864947802
6638068d9ab49383d1fe00ae,diverging,8,1,1,33395,10.41616147,2.848475667
6638068d9ab49383d1fe00ae,diverging,9,0,1,91436,11.42339455,2.872915849
6638068d9ab49383d1fe00ae,radial,1,1,2,20303,9.918523937,2.832926491
6638068d9ab49383d1fe00ae,radial,2,1,2,36327,10.50031655,2.850854086
6638068d9ab49383d1fe00ae,radial,3,0,2,27305,10.21482511,2.842500631
6638068d9ab49383d1fe00ae,radial,4,1,2,34022,10.43476265,2.849007271
6638068d9ab49383d1fe00ae,radial,5,1,2,49053,10.80065663,2.858806985
6638068d9ab49383d1fe00ae,radial,6,1,2,33574,10.42150724,2.84862879
6638068d9ab49383d1fe00ae,radial,7,0,2,57676,10.96259642,2.862768859
6638068d9ab49383d1fe00ae,radial,8,1,2,31991,10.37320989,2.847235192
6638068d9ab49383d1fe00ae,radial,9,0,2,81007,11.30229085,2.870401563
6638068d9ab49383d1fe00ae,blossom,1,1,3,43292,10.67572314,2.855597424
6638068d9ab49383d1fe00ae,blossom,2,1,3,32071,10.37570747,2.847307823
6638068d9ab49383d1fe00ae,blossom,3,1,3,13015,9.473857817,2.816614827
6638068d9ab49383d1fe00ae,blossom,4,1,3,23566,10.06756027,2.837863059
6638068d9ab49383d1fe00ae,blossom,5,1,3,15991,9.679781343,2.824476621
6638068d9ab49383d1fe00ae,blossom,6,0,3,12718,9.450773592,2.815698606
6638068d9ab49383d1fe00ae,blossom,7,1,3,49504,10.80980875,2.859036773
6638068d9ab49383d1fe00ae,blossom,8,1,3,18211,9.809781086,2.829162924
6638068d9ab49383d1fe00ae,blossom,9,1,3,39048,10.57254694,2.852841756
66769d971af102d5b24e5f8c,diverging,1,1,1,14249,9.564442008,2.820141269
66769d971af102d5b24e5f8c,diverging,2,1,1,18802,9.841718526,2.830282783
66769d971af102d5b24e5f8c,diverging,3,1,1,15899,9.674011493,2.824263773
66769d971af102d5b24e5f8c,diverging,4,0,1,30475,10.32466195,2.845811041
66769d971af102d5b24e5f8c,diverging,5,1,1,14540,9.584658751,2.820913548
66769d971af102d5b24e5f8c,diverging,6,0,1,35455,10.47601957,2.850174391
66769d971af102d5b24e5f8c,diverging,7,1,1,31768,10.36621477,2.847031441
66769d971af102d5b24e5f8c,diverging,8,1,1,14396,9.574705669,2.820534006
66769d971af102d5b24e5f8c,diverging,9,0,1,75390,11.23042992,2.868859797
66769d971af102d5b24e5f8c,blossom,1,1,2,21728,9.98635703,2.835204474
